Ai_Data:400,1,1,3,1,N,B,V3
No,isInSideR.5,x,y,z
78,0,0.1539,0.8065,0.4014
79,0,0.6582,0.7215,0.0147
80,0,0.0253,0.3591,0.4667
81,0,0.6195,0.8174,0.0304
82,0,0.7269,0.1906,0.7889
83,0,0.292,0.172,0.6833
84,1,0.4928,0.5398,0.6846
85,0,0.7753,0.3946,0.2358
86,0,0.9981,0.9973,0.2125
87,0,0.0475,0.579,0.0792
88,1,0.3371,0.3817,0.4856
89,0,0.1842,0.6886,0.1115
90,0,0.1899,0.9525,0.6232
91,1,0.5424,0.5945,0.5263
92,0,0.7454,0.9141,0.7312
93,0,0.9784,0.7381,0.986
94,0,0.8742,0.8157,0.5677
95,0,0.5021,0.0523,0.4796
96,0,0.675,0.5826,0.1959
97,0,0.016,0.0111,0.3395
98,0,0.4012,0.3358,0.0267
99,0,0.2628,0.0476,0.7374
100,0,0.9755,0.1731,0.7515
101,0,0.6152,0.14,0.7898
102,0,0.3917,0.5232,0.84
103,0,0.2096,0.6904,0.0177
104,0,0.3323,0.8432,0.0843
105,0,0.9499,0.9615,0.6066
106,0,0.8701,0.1307,0.1712
107,0,0.4151,0.8583,0.5391
108,0,0.235,0.2746,0.0214
109,1,0.4973,0.8163,0.5196
110,0,0.8681,0.4821,0.7169
111,0,0.9927,0.5303,0.4974
112,0,0.4231,0.2141,0.7966
113,0,0.1771,0.3099,0.8363
114,0,0.5759,0.0413,0.6103
115,0,0.9331,0.526,0.5786
116,0,0.5119,0.9171,0.8322
117,0,0.0747,0.9885,0.135
118,1,0.3692,0.3599,0.2259
119,0,0.436,0.7315,0.8981
120,0,0.7526,0.2609,0.8657
121,0,0.8874,0.6334,0.0484
122,1,0.2907,0.2968,0.3359
123,0,0.006,0.1383,0.0077
124,0,0.1297,0.5416,0.4999
125,0,0.485,0.1267,0.9037
126,0,0.8132,0.6474,0.3223
127,0,0.8256,0.2734,0.8609
128,0,0.2477,0.2223,0.5028
129,0,0.225,0.091,0.2353
130,0,0.9639,0.5756,0.398
131,0,0.1735,0.8501,0.8756
132,0,0.7112,0.146,0.438
133,0,0.9141,0.7571,0.4344
134,0,0.1363,0.4882,0.0396
135,0,0.9011,0.7152,0.4878
136,0,0.9518,0.9809,0.4509
137,0,0.5551,0.7618,0.0522
138,0,0.1693,0.2414,0.0856
139,0,0.2349,0.424,0.8337
140,0,0.7033,0.9121,0.2918
141,0,0.2706,0.8304,0.5226
142,0,0.5212,0.822,0.2023
143,0,0.4198,0.0178,0.4531
144,0,0.581,0.8464,0.9008
145,0,0.0447,0.5452,0.3184
146,0,0.6153,0.8921,0.6713
147,0,0.9688,0.8344,0.1535
148,0,0.465,0.6451,0.136
149,0,0.1719,0.6543,0.8088
150,0,0.6884,0.839,0.7013
151,1,0.5341,0.4289,0.4267
152,0,0.6436,0.1511,0.4697
153,1,0.5551,0.6239,0.3321
154,0,0.7166,0.2209,0.7177
155,0,0.6671,0.9328,0.0565
156,0,0.9179,0.0254,0.7342
157,0,0.2429,0.3866,0.2496
158,0,0.2496,0.7479,0.3321
159,0,0.9806,0.43,0.8108
160,0,0.1217,0.6585,0.2421
161,0,0.8466,0.4892,0.9973
162,0,0.2295,0.1907,0.9467
163,0,0.4804,0.1771,0.3565
164,0,0.7592,0.6732,0.8615
165,0,0.7276,0.0928,0.3999
166,0,0.1237,0.8559,0.1947
167,0,0.0819,0.7466,0.7888
168,0,0.715,0.7835,0.8733
169,0,0.0963,0.5291,0.7632
170,0,0.9489,0.5199,0.6712
171,1,0.5761,0.4219,0.4154
172,0,0.2369,0.0255,0.6888
173,1,0.4126,0.3647,0.5099
174,0,0.0151,0.961,0.657
175,1,0.5617,0.42,0.6864
176,1,0.6478,0.6262,0.7556
177,0,0.7284,0.1783,0.3762
178,1,0.4679,0.4813,0.7889
179,0,0.1092,0.7727,0.4101
180,0,0.4874,0.0255,0.2304
181,0,0.8639,0.502,0.4322
182,0,0.9553,0.0576,0.8796
183,0,0.171,0.9422,0.6456
184,0,0.038,0.8171,0.2465
185,1,0.5565,0.6315,0.4442
186,0,0.0005,0.0138,0.3394
187,0,0.0055,0.5012,0.9129
188,0,0.4368,0.6242,0.8538
189,0,0.9751,0.2569,0.343
190,0,0.9056,0.3537,0.9043
191,0,0.1282,0.4533,0.6108
192,0,0.8288,0.1754,0.9602
193,0,0.2384,0.1185,0.814
194,0,0.2661,0.1458,0.6228
195,0,0.5576,0.0244,0.7838
196,0,0.2626,0.0956,0.8518
197,0,0.8293,0.1401,0.2755
198,1,0.4239,0.6009,0.304
199,0,0.3705,0.0011,0.6279
200,0,0.2827,0.1798,0.1206
201,0,0.0446,0.7424,0.7602
202,0,0.4367,0.7317,0.8819
203,0,0.8324,0.9454,0.3761
204,0,0.4203,0.1629,0.0773
205,0,0.8727,0.2908,0.4652
206,1,0.3926,0.7372,0.3961
207,0,0.6187,0.8636,0.4554
208,0,0.0383,0.252,0.9776
209,0,0.9374,0.8796,0.9873
210,0,0.1469,0.5006,0.5459
211,0,0.8924,0.1569,0.0535
212,0,0.2302,0.9384,0.6405
213,0,0.4007,0.9072,0.508
214,0,0.8102,0.8422,0.0172
215,0,0.2541,0.9333,0.4886
216,0,0.7293,0.8517,0.2856
217,0,0.9639,0.143,0.4445
218,0,0.5658,0.418,0.0375
219,0,0.8289,0.0071,0.0204
220,0,0.0286,0.6753,0.6689
221,1,0.3573,0.2419,0.3317
222,0,0.6441,0.4043,0.8617
223,0,0.0079,0.1651,0.9953
224,0,0.1665,0.3854,0.8444
225,0,0.9612,0.9072,0.9523
226,0,0.5322,0.3592,0.1415
227,1,0.6073,0.5284,0.4642
228,0,0.8803,0.3322,0.1293
229,0,0.4459,0.1573,0.9782
230,0,0.7474,0.9011,0.3818
231,0,0.4631,0.0857,0.6652
232,0,0.0812,0.9268,0.1027
233,1,0.5738,0.3966,0.6419
234,0,0.7517,0.0958,0.9369
235,0,0.7255,0.7285,0.0109
236,0,0.8539,0.9502,0.7129
237,0,0.5532,0.246,0.2
238,0,0.8368,0.6917,0.2503
239,1,0.3692,0.3656,0.4711
240,0,0.4327,0.7502,0.8245
241,1,0.5837,0.3354,0.2076
242,0,0.0562,0.5945,0.2905
243,0,0.6849,0.9437,0.4921
244,0,0.86,0.8418,0.7819
245,0,0.4857,0.5112,0.8677
246,1,0.5339,0.222,0.3863
247,0,0.7687,0.4545,0.8424
248,0,0.2769,0.676,0.817
249,0,0.5529,0.1611,0.9707
250,0,0.7266,0.6288,0.9144
251,0,0.2731,0.2548,0.0256
252,0,0.0516,0.5937,0.3802
253,0,0.0187,0.6118,0.1913
254,1,0.4687,0.5424,0.543
255,0,0.9371,0.2781,0.1519
256,0,0.1979,0.2292,0.7222
257,0,0.7787,0.7993,0.7568
258,0,0.8772,0.7019,0.9842
259,0,0.6599,0.9661,0.4076
260,0,0.7865,0.8804,0.305
261,0,0.2572,0.6685,0.7533
262,0,0.4455,0.1375,0.4579
263,0,0.1344,0.998,0.5143
264,0,0.3027,0.6095,0.8699
265,0,0.561,0.0019,0.5853
266,0,0.9032,0.2841,0.3212
267,0,0.3055,0.1459,0.8178
268,0,0.1534,0.0917,0.2416
269,1,0.3097,0.6333,0.3541
270,0,0.6715,0.0687,0.5658
271,0,0.1698,0.834,0.8976
272,0,0.7771,0.4755,0.1942
273,0,0.7828,0.2475,0.171
274,0,0.9905,0.3609,0.1366
275,0,0.6811,0.2304,0.8373
276,0,0.0591,0.7722,0.9609
277,0,0.2753,0.2207,0.6703
278,0,0.048,0.4298,0.2745
279,0,0.7786,0.9488,0.5471
280,0,0.0054,0.5392,0.2116
281,0,0.8021,0.204,0.2388
282,1,0.6876,0.2947,0.3377
283,0,0.8021,0.6894,0.7784
284,0,0.8793,0.8727,0.5792
285,1,0.5414,0.4024,0.7257
286,0,0.5235,0.1139,0.8021
287,0,0.8115,0.3953,0.7215
288,0,0.2519,0.9753,0.0622
289,1,0.6578,0.7544,0.6508
290,0,0.5408,0.9984,0.3973
291,1,0.574,0.755,0.327
292,0,0.6716,0.8152,0.8803
293,1,0.3961,0.4633,0.1742
294,0,0.5099,0.8941,0.5778
295,0,0.237,0.1264,0.7417
296,0,0.9047,0.6412,0.6134
297,1,0.5865,0.5845,0.3453
298,0,0.7913,0.4219,0.7855
299,0,0.9504,0.2128,0.4983
300,0,0.9503,0.3698,0.7001
301,0,0.9511,0.6213,0.3954
302,0,0.3613,0.8156,0.2047
303,0,0.9552,0.0672,0.3524
304,0,0.2829,0.1105,0.6255
305,0,0.8531,0.3332,0.0894
306,0,0.1349,0.3507,0.9636
307,0,0.9035,0.2549,0.9038
308,0,0.0252,0.3437,0.3744
309,1,0.3788,0.2084,0.4034
310,0,0.9146,0.901,0.9853
311,1,0.4253,0.2498,0.3958
312,0,0.0054,0.5185,0.9806
313,0,0.8933,0.3054,0.0428
314,0,0.5442,0.5176,0.9408
315,1,0.2081,0.3963,0.3314
316,0,0.901,0.0837,0.248
317,1,0.4607,0.4151,0.5668
318,0,0.0933,0.1677,0.0089
319,0,0.1049,0.0106,0.7978
320,0,0.9226,0.2206,0.9733
321,0,0.7685,0.7477,0.1351
322,0,0.1537,0.0261,0.3933
323,0,0.0362,0.4534,0.6386
324,0,0.741,0.7903,0.2476
325,0,0.4486,0.5971,0.1422
326,0,0.5732,0.9584,0.8028
327,0,0.7017,0.2499,0.8669
328,1,0.6105,0.2632,0.6647
329,0,0.9334,0.6859,0.2552
330,0,0.2066,0.0872,0.3461
331,0,0.3662,0.585,0.9567
332,0,0.8918,0.6449,0.516
333,0,0.2391,0.1442,0.62
334,1,0.5113,0.583,0.5445
335,0,0.2382,0.7544,0.9057
336,1,0.4274,0.6661,0.2976
337,0,0.3163,0.3255,0.2532
338,0,0.0652,0.0678,0.4168
339,0,0.203,0.3957,0.2091
340,0,0.472,0.749,0.1099
341,0,0.859,0.9122,0.8826
342,0,0.3365,0.2745,0.8375
343,0,0.9289,0.5818,0.1346
344,0,0.133,0.5192,0.776
345,0,0.7114,0.0148,0.755
346,0,0.2823,0.8521,0.6229
347,0,0.6112,0.1018,0.9408
348,0,0.5217,0.8763,0.7592
349,0,0.2649,0.2169,0.1747
350,0,0.6035,0.4559,0.0487
351,0,0.8691,0.5083,0.9278
352,0,0.0702,0.8901,0.2052
353,0,0.4841,0.77,0.7891
354,1,0.7368,0.5157,0.7501
355,1,0.5613,0.7602,0.4616
356,0,0.7161,0.0372,0.6896
357,0,0.4541,0.3907,0.8871
358,0,0.9083,0.3205,0.2096
359,1,0.5373,0.5379,0.3628
360,0,0.909,0.5449,0.4961
361,1,0.5884,0.3633,0.226
362,0,0.8304,0.3116,0.2847
363,1,0.5875,0.5592,0.3006
364,0,0.6406,0.8557,0.5071
365,0,0.8887,0.9018,0.152
366,0,0.8671,0.7245,0.4784
367,0,0.1098,0.4751,0.0813
368,0,0.9532,0.4814,0.0306
369,0,0.8971,0.9732,0.0305
370,0,0.7478,0.9694,0.907
371,0,0.2582,0.172,0.9741
372,0,0.6285,0.7587,0.1455
373,0,0.2316,0.036,0.2514
374,0,0.1571,0.3923,0.1657
375,1,0.5872,0.5596,0.4629
376,0,0.0098,0.275,0.3904
377,0,0.8444,0.3973,0.3256
378,1,0.7785,0.3062,0.5486
379,0,0.4599,0.1726,0.0656
380,0,0.1618,0.9782,0.8761
381,0,0.3956,0.1405,0.8376
382,1,0.6202,0.4337,0.3226
383,0,0.7341,0.1634,0.1118
384,0,0.8202,0.2367,0.1482
385,0,0.3808,0.8279,0.27
386,0,0.7019,0.1508,0.0114
387,1,0.4922,0.5148,0.6184
388,0,0.8339,0.3656,0.3798
389,0,0.9048,0.4307,0.9665
390,0,0.429,0.174,0.8907
391,0,0.831,0.5506,0.6554
392,0,0.0546,0.3839,0.7206
393,0,0.2409,0.1897,0.7473
394,0,0.2346,0.5796,0.1488
395,0,0.9764,0.0724,0.8406
396,0,0.8749,0.0188,0.882
397,0,0.5679,0.3596,0.9436
398,1,0.3151,0.2969,0.4152
399,0,0.239,0.6998,0.8557
400,0,0.8689,0.2234,0.285
