Ai_Data:300,1,1,2,1,N,C1.9,V2
No,GridNo,x,y
70,1,0.6307,0.1531
71,7,0.4523,0.7749
72,5,0.7312,0.5249
73,6,0.2853,0.9487
74,7,0.3419,0.7773
75,2,0.9959,0.027
76,2,0.7618,0.0265
77,0,0.0253,0.2621
78,0,0.2315,0.1175
79,1,0.5551,0.0954
80,1,0.3772,0.029
81,4,0.4704,0.6623
82,6,0.1741,0.8811
83,4,0.3362,0.3609
84,3,0.2286,0.53
85,0,0.3084,0.0941
86,7,0.4235,0.9839
87,0,0.1507,0.043
88,0,0.2248,0.1249
89,2,0.7806,0.0827
90,3,0.1968,0.4702
91,0,0.0149,0.1983
92,7,0.5216,0.9586
93,4,0.4378,0.5124
94,7,0.5707,0.9952
95,7,0.5623,0.7809
96,2,0.8251,0.2392
97,5,0.7084,0.4691
98,8,0.6907,0.8698
99,6,0.2679,0.7655
100,0,0.0067,0.3137
101,0,0.2795,0.144
102,6,0.2923,0.6684
103,1,0.4853,0.3328
104,0,0.0308,0.3072
105,6,0.2902,0.8006
106,4,0.5352,0.3983
107,0,0.2967,0.1178
108,0,0.1952,0.3239
109,7,0.3373,0.8042
110,0,0.1497,0.2327
111,3,0.1746,0.5202
112,2,0.6838,0.2107
113,6,0.2938,0.7134
114,8,0.8957,0.805
115,1,0.4566,0.0773
116,7,0.4316,0.8834
117,5,0.94,0.4345
118,1,0.3342,0.0667
119,7,0.6322,0.9
120,0,0.3028,0.2153
121,4,0.4062,0.4383
122,8,0.9113,0.707
123,1,0.4432,0.1702
124,4,0.5808,0.4885
125,1,0.4292,0.0397
126,1,0.3545,0.1357
127,8,0.7947,0.7019
128,5,0.7709,0.4076
129,7,0.4205,0.7387
130,1,0.3821,0.0274
131,4,0.4808,0.564
132,8,0.7157,0.6757
133,4,0.3468,0.6257
134,5,0.7243,0.4296
135,8,0.7208,0.7659
136,0,0.0227,0.1332
137,7,0.4239,0.8474
138,4,0.4572,0.4322
139,1,0.5093,0.0056
140,5,0.8047,0.459
141,1,0.6222,0.1367
142,4,0.6494,0.4002
143,5,0.7785,0.4801
144,5,0.7323,0.434
145,5,0.9851,0.4044
146,6,0.3213,0.7684
147,7,0.3722,0.7584
148,7,0.3993,0.7675
149,5,0.7601,0.3932
150,5,0.7159,0.3987
151,8,0.8333,0.7176
152,3,0.0004,0.4856
153,4,0.3417,0.3947
154,5,0.8832,0.5007
155,3,0.0034,0.54
156,6,0.3214,0.8828
157,0,0.0279,0.0289
158,1,0.5768,0.1132
159,7,0.4349,0.7746
160,0,0.042,0.035
161,1,0.5878,0.0854
162,1,0.4626,0.1498
163,4,0.6154,0.4595
164,7,0.351,0.8765
165,4,0.6431,0.4284
166,1,0.6404,0.0061
167,0,0.0053,0.3076
168,8,0.874,0.8379
169,8,0.8613,0.9631
170,7,0.4779,0.7296
171,8,0.8866,0.955
172,2,0.9135,0.0478
173,5,0.9611,0.6651
174,8,0.7571,0.7519
175,0,0.0259,0.2709
176,0,0.0022,0.0962
177,7,0.5316,0.6721
178,0,0.1335,0.1843
179,6,0.1485,0.7313
180,5,0.7675,0.3609
181,4,0.6623,0.4382
182,8,0.9074,0.6745
183,6,0.2254,0.8542
184,6,0.1096,0.8959
185,7,0.3871,0.9509
186,6,0.1077,0.8268
187,7,0.5735,0.6975
188,8,0.6918,0.8827
189,2,0.9398,0.0102
190,2,0.8889,0.1845
191,5,0.7669,0.42
192,5,0.7431,0.6439
193,5,0.8227,0.5706
194,6,0.2397,0.7751
195,7,0.3623,0.9041
196,0,0.1734,0.2198
197,2,0.6871,0.145
198,0,0.0045,0.2172
199,4,0.4355,0.4413
200,3,0.0015,0.5062
201,0,0.027,0.2719
202,3,0.2175,0.3908
203,5,0.9315,0.4805
204,6,0.095,0.9566
205,2,0.6851,0.0446
206,8,0.7491,0.6697
207,5,0.8261,0.4387
208,6,0.223,0.8449
209,6,0.1705,0.7027
210,6,0.265,0.716
211,3,0.1009,0.5732
212,1,0.4218,0.0925
213,2,0.7901,0.2871
214,7,0.4976,0.8383
215,7,0.5304,0.9183
216,5,0.6723,0.656
217,4,0.592,0.3558
218,8,0.8299,0.9109
219,0,0.2813,0.2824
220,5,0.8901,0.4794
221,6,0.1211,0.7641
222,6,0.1923,0.8566
223,0,0.325,0.3091
224,0,0.2285,0.0068
225,5,0.9874,0.5059
226,6,0.2711,0.6914
227,4,0.6617,0.6
228,2,0.6937,0.2592
229,3,0.2472,0.6182
230,0,0.0305,0.1323
231,7,0.3582,0.9003
232,3,0.0724,0.4732
233,1,0.5961,0.1477
234,7,0.5461,0.7667
235,4,0.3968,0.347
236,0,0.1722,0.3016
237,1,0.3752,0.1804
238,6,0.1517,0.7852
239,7,0.3381,0.7792
240,4,0.3742,0.5776
241,7,0.3891,0.933
242,2,0.8983,0.2765
243,2,0.7949,0.1112
244,4,0.4982,0.6408
245,7,0.5371,0.9077
246,0,0.3253,0.0845
247,8,0.7199,0.7682
248,2,0.9806,0.2261
249,0,0.2564,0.1084
250,1,0.545,0.2287
251,1,0.5049,0.1842
252,7,0.3646,0.9142
253,2,0.7778,0.3207
254,7,0.6383,0.8861
255,5,0.8933,0.3626
256,0,0.1028,0.146
257,3,0.1943,0.4528
258,7,0.3645,0.9368
259,5,0.7041,0.4993
260,8,0.6726,0.7986
261,7,0.342,0.9407
262,0,0.1822,0.0707
263,7,0.3699,0.6682
264,0,0.0036,0.3237
265,1,0.4932,0.2145
266,4,0.5838,0.4577
267,3,0.2857,0.569
268,3,0.2186,0.4489
269,2,0.8624,0.2278
270,8,0.7413,0.9805
271,5,0.9712,0.3384
272,5,0.6852,0.4416
273,2,0.9248,0.0494
274,1,0.466,0.0288
275,3,0.0459,0.4224
276,7,0.3822,0.9347
277,4,0.5469,0.5178
278,7,0.4795,0.8574
279,3,0.0156,0.5123
280,1,0.5765,0.3159
281,8,0.9299,0.9579
282,5,0.9979,0.5056
283,5,0.8722,0.5426
284,8,0.8136,0.6782
285,7,0.3659,0.9602
286,1,0.6282,0.2801
287,7,0.506,0.7515
288,3,0.2205,0.3342
289,2,0.8057,0.2228
290,7,0.5773,0.7994
291,8,0.9301,0.8042
292,6,0.1207,0.8917
293,3,0.2401,0.4554
294,3,0.1736,0.6017
295,6,0.3175,0.9782
296,8,0.9622,0.8928
297,5,0.8931,0.3464
298,2,0.7008,0.3145
299,5,0.8509,0.4112
300,1,0.5572,0.0149
