Ai_Data:300,1,1,2,-1,N,V2,B
No,x,y,isAbove
185,0.5526,0.0634,0
186,0.6861,0.2495,0
187,0.1003,0.6898,0
188,0.4004,0.4504,1
189,0.8394,0.0024,0
190,0.7718,0.9571,0
191,0.663,0.7806,0
192,0.0133,0.1655,0
193,0.9545,0.7112,0
194,0.16,0.0075,0
195,0.9067,0.1734,0
196,0.9319,0.9538,0
197,0.9715,0.6733,0
198,0.8444,0.2509,0
199,0.486,0.1625,0
200,0.7366,0.2544,0
201,0.7721,0.7243,0
202,0.1419,0.965,0
203,0.2571,0.3626,0
204,0.1698,0.1287,0
205,0.411,0.8781,0
206,0.8234,0.5098,0
207,0.549,0.0654,0
208,0.9228,0.1957,0
209,0.7938,0.7157,0
210,0.0569,0.0441,0
211,0.7476,0.16,0
212,0.2356,0.6302,0
213,0.6673,0.3361,1
214,0.1637,0.3051,0
215,0.1925,0.6149,0
216,0.3091,0.2232,0
217,0.9221,0.8699,0
218,0.1866,0.4496,0
219,0.3855,0.5236,0
220,0.5294,0.505,1
221,0.2078,0.5562,0
222,0.2705,0.959,0
223,0.5124,0.7111,1
224,0.505,0.9308,0
225,0.8611,0.3802,1
226,0.8563,0.6057,0
227,0.2767,0.9047,0
228,0.9168,0.1286,0
229,0.1455,0.2752,0
230,0.6864,0.4823,1
231,0.0465,0.4658,0
232,0.1796,0.2102,0
233,0.8044,0.886,0
234,0.6231,0.0939,0
235,0.3131,0.6853,0
236,0.917,0.1435,0
237,0.9264,0.8949,0
238,0.2795,0.5117,0
239,0.4628,0.6404,1
240,0.2487,0.1888,0
241,0.1224,0.9106,0
242,0.4628,0.5904,1
243,0.8605,0.6154,0
244,0.8899,0.3961,1
245,0.0168,0.9194,0
246,0.4304,0.2473,0
247,0.2466,0.0832,0
248,0.0632,0.1664,0
249,0.0496,0.2986,0
250,0.9578,0.8039,0
251,0.4456,0.2509,0
252,0.2237,0.8743,0
253,0.5915,0.3931,1
254,0.2199,0.3904,0
255,0.3879,0.1668,0
256,0.5956,0.5536,1
257,0.3721,0.6535,0
258,0.4842,0.4124,1
259,0.4437,0.3906,1
260,0.5224,0.6454,1
261,0.2202,0.3378,0
262,0.6166,0.0805,0
263,0.0694,0.2258,0
264,0.6283,0.8086,0
265,0.1158,0.7748,0
266,0.3999,0.0014,0
267,0.7666,0.5142,1
268,0.7935,0.793,0
269,0.556,0.1903,0
270,0.6643,0.8332,0
271,0.3535,0.9941,0
272,0.9406,0.3748,0
273,0.2327,0.096,0
274,0.2314,0.0011,0
275,0.5492,0.2195,0
276,0.635,0.3549,1
277,0.0225,0.2402,0
278,0.6694,0.4777,1
279,0.8699,0.0428,0
280,0.4964,0.6189,1
281,0.2896,0.1219,0
282,0.8619,0.6239,0
283,0.838,0.6598,0
284,0.4237,0.2606,0
285,0.5011,0.0668,0
286,0.3886,0.094,0
287,0.5034,0.2171,0
288,0.6317,0.7675,0
289,0.1547,0.866,0
290,0.7185,0.8018,0
291,0.2779,0.9818,0
292,0.5016,0.2686,0
293,0.0188,0.9771,0
294,0.2161,0.9506,0
295,0.0811,0.0742,0
296,0.2421,0.8453,0
297,0.6856,0.2881,0
298,0.9595,0.1242,0
299,0.7999,0.7626,0
300,0.3646,0.9041,0
