Ai_Data:300,1,1,2,1,N,C1.3,V2
No,Y3Area,x,y
213,2,0.1887,0.9053
214,0,0.7102,0.4905
215,0,0.6381,0.2023
216,1,0.3797,0.4237
217,0,0.5479,0.5476
218,0,0.972,0.1409
219,1,0.0569,0.4256
220,0,0.6171,0.5864
221,1,0.1056,0.3822
222,1,0.0074,0.7851
223,1,0.3838,0.4472
224,0,0.9464,0.7744
225,0,0.9309,0.8235
226,1,0.2307,0.2025
227,1,0.0609,0.2014
228,0,0.662,0.5748
229,0,0.5353,0.3094
230,1,0.2358,0.3851
231,1,0.1547,0.5589
232,0,0.8036,0.6142
233,2,0.1908,0.8932
234,0,0.7558,0.3319
235,1,0.3315,0.2002
236,0,0.5218,0.385
237,1,0.0607,0.8978
238,0,0.9343,0.4072
239,0,0.644,0.5511
240,0,0.7553,0.6342
241,1,0.1432,0.6323
242,0,0.9092,0.2596
243,1,0.131,0.7803
244,1,0.2216,0.3143
245,1,0.0272,0.1717
246,0,0.7093,0.3052
247,2,0.2297,0.8606
248,0,0.7194,0.0971
249,1,0.4605,0.1984
250,2,0.4635,0.7718
251,0,1,0.6914
252,0,0.7444,0.4498
253,2,0.7306,0.9065
254,0,0.922,0.3072
255,1,0.1618,0.2845
256,1,0.416,0.2741
257,2,0.8586,0.9689
258,1,0.2904,0.148
259,0,0.9448,0.0122
260,0,0.7188,0.1065
261,0,0.6043,0.5662
262,2,0.3761,0.8532
263,2,0.7501,0.9177
264,1,0.0542,0.8829
265,1,0.2851,0.4786
266,1,0.0475,0.5983
267,0,0.6252,0.0883
268,1,0.1065,0.2641
269,1,0.4068,0.2404
270,1,0.0052,0.0328
271,0,0.5511,0.0907
272,1,0.0199,0.525
273,1,0.1066,0.3568
274,0,0.8661,0.7007
275,0,0.5417,0.4692
276,0,0.8895,0.0051
277,1,0.4094,0.5826
278,0,0.56,0.0223
279,0,0.5561,0.3064
280,0,0.5633,0.123
281,1,0.296,0.265
282,1,0.0385,0.8393
283,2,0.2232,0.8461
284,2,0.7579,0.9518
285,2,0.5837,0.747
286,1,0.2964,0.5225
287,1,0.3785,0.1785
288,1,0.4862,0.3584
289,2,0.6201,0.8347
290,0,0.7058,0.6411
291,2,0.4143,0.9891
292,0,0.7974,0.7043
293,0,0.7888,0.3264
294,0,0.6625,0.196
295,1,0.4412,0.3683
296,0,0.8299,0.1092
297,0,0.8274,0.6044
298,0,0.5451,0.4139
299,1,0.263,0.6852
300,1,0.1766,0.2774
