Ai_Data:400,1,1,3,-1,N,V3,B
No,x,y,z,isInsideR.5
118,0.3079,0.0034,0.3495,0
119,0.8647,0.8216,0.0535,0
120,0.4058,0.1612,0.3164,0
121,0.2705,0.618,0.9246,0
122,0.9732,0.3881,0.5547,0
123,0.2438,0.2155,0.1711,0
124,0.0201,0.7959,0.4594,0
125,0.5994,0.1654,0.3403,0
126,0.2699,0.0896,0.7805,0
127,0.1156,0.0342,0.2983,0
128,0.5013,0.8121,0.5111,1
129,0.3062,0.9155,0.0411,0
130,0.8654,0.2286,0.8036,0
131,0.4735,0.0476,0.5496,0
132,0.9966,0.0685,0.6269,0
133,0.7266,0.5869,0.0663,0
134,0.4385,0.8624,0.4766,0
135,0.6635,0.6528,0.4918,1
136,0.4959,0.547,0.1283,0
137,0.7787,0.5785,0.7046,0
138,0.1542,0.6716,0.7258,0
139,0.1866,0.9457,0.8141,0
140,0.7466,0.7391,0.4984,1
141,0.2571,0.0046,0.482,0
142,0.6635,0.2691,0.66,1
143,0.0515,0.5511,0.7928,0
144,0.1379,0.8815,0.6223,0
145,0.3436,0.8089,0.5441,1
146,0.08,0.3975,0.1164,0
147,0.3213,0.4153,0.565,1
148,0.6334,0.4307,0.2223,1
149,0.0985,0.7859,0.5755,0
150,0.637,0.5286,0.2244,1
151,0.7423,0.0136,0.4782,0
152,0.0799,0.4177,0.6934,0
153,0.9498,0.5875,0.6453,0
154,0.9798,0.633,0.8138,0
155,0.5961,0.6751,0.0299,0
156,0.4691,0.5727,0.7914,1
157,0.4446,0.0431,0.6206,0
158,0.293,0.1336,0.7449,0
159,0.1673,0.9804,0.1644,0
160,0.9832,0.362,0.876,0
161,0.779,0.3714,0.0372,0
162,0.7192,0.3093,0.4912,1
163,0.4644,0.432,0.9408,0
164,0.8993,0.325,0.663,0
165,0.8716,0.1116,0.5699,0
166,0.7706,0.6651,0.5498,1
167,0.0877,0.8536,0.8398,0
168,0.6834,0.3553,0.6889,1
169,0.9974,0.8533,0.4908,0
170,0.6863,0.0326,0.5098,0
171,0.3824,0.2191,0.223,0
172,0.8504,0.8138,0.9396,0
173,0.2459,0.091,0.7593,0
174,0.9398,0.419,0.8558,0
175,0.2686,0.8662,0.7112,0
176,0.419,0.6156,0.3482,1
177,0.3206,0.7843,0.6304,0
178,0.3483,0.8674,0.8348,0
179,0.3892,0.2962,0.4977,1
180,0.0395,0.6811,0.1134,0
181,0.4449,0.4487,0.9262,0
182,0.4885,0.8462,0.9651,0
183,0.465,0.0143,0.8616,0
184,0.1224,0.3926,0.0427,0
185,0.39,0.8583,0.3575,0
186,0.3706,0.9323,0.0141,0
187,0.9993,0.1126,0.3963,0
188,0.5465,0.9454,0.3731,0
189,0.8903,0.6858,0.539,0
190,0.5739,0.8038,0.5251,1
191,0.7208,0.5504,0.7208,1
192,0.7734,0.7358,0.772,0
193,0.9626,0.6596,0.5869,0
194,0.2987,0.808,0.219,0
195,0.4076,0.3325,0.6868,1
196,0.4488,0.1758,0.4728,1
197,0.8938,0.0657,0.4401,0
198,0.0347,0.6201,0.8508,0
199,0.9802,0.0411,0.3491,0
200,0.8153,0.5746,0.7465,0
201,0.9131,0.6723,0.2959,0
202,0.8021,0.7583,0.3481,0
203,0.0071,0.4229,0.2141,0
204,0.5189,0.9786,0.1638,0
205,0.8152,0.4051,0.8007,0
206,0.1665,0.9712,0.3096,0
207,0.0112,0.9852,0.5325,0
208,0.6333,0.1102,0.3505,0
209,0.048,0.3526,0.8856,0
210,0.4812,0.7628,0.193,0
211,0.2189,0.8039,0.6512,0
212,0.9838,0.7955,0.1886,0
213,0.0332,0.9274,0.3887,0
214,0.0603,0.5707,0.7683,0
215,0.6424,0.9962,0.691,0
216,0.0956,0.5216,0.6676,0
217,0.7326,0.264,0.8542,0
218,0.2359,0.3634,0.667,1
219,0.635,0.5618,0.0642,0
220,0.3475,0.0155,0.8377,0
221,0.7285,0.179,0.1483,0
222,0.502,0.6717,0.1031,0
223,0.3116,0.5457,0.5996,1
224,0.1568,0.9826,0.5687,0
225,0.3308,0.274,0.7839,0
226,0.1981,0.3216,0.0961,0
227,0.473,0.7244,0.289,1
228,0.2756,0.3985,0.0685,0
229,0.4797,0.0074,0.0931,0
230,0.4362,0.381,0.7719,1
231,0.9269,0.2707,0.9213,0
232,0.5242,0.9919,0.3622,0
233,0.4565,0.8144,0.6396,1
234,0.2248,0.0898,0.5724,0
235,0.3439,0.0986,0.1206,0
236,0.5427,0.8116,0.1873,0
237,0.6711,0.6027,0.5107,1
238,0.9909,0.786,0.4488,0
239,0.041,0.8422,0.5526,0
240,0.3859,0.0159,0.0068,0
241,0.0387,0.2029,0.38,0
242,0.9558,0.0945,0.3701,0
243,0.3322,0.6714,0.3156,1
244,0.0421,0.2778,0.0931,0
245,0.7141,0.6006,0.4807,1
246,0.0657,0.8946,0.7217,0
247,0.3371,0.3974,0.7821,1
248,0.2022,0.4437,0.8871,0
249,0.1977,0.0287,0.8817,0
250,0.432,0.8315,0.4245,1
251,0.3883,0.5721,0.4059,1
252,0.8582,0.3379,0.0844,0
253,0.0795,0.2489,0.7046,0
254,0.4822,0.3868,0.8518,0
255,0.4279,0.5332,0.2608,1
256,0.5588,0.8544,0.1517,0
257,0.9354,0.599,0.1753,0
258,0.2774,0.7748,0.8721,0
259,0.034,0.5984,0.3264,0
260,0.4008,0.7236,0.2282,0
261,0.144,0.6356,0.6481,0
262,0.6967,0.1793,0.5959,0
263,0.9672,0.8632,0.7859,0
264,0.0831,0.5978,0.6129,0
265,0.6366,0.4492,0.9945,0
266,0.4434,0.0967,0.6549,0
267,0.3794,0.3035,0.8538,0
268,0.6031,0.3442,0.292,1
269,0.848,0.9803,0.9968,0
270,0.0757,0.8021,0.0914,0
271,0.073,0.1371,0.8957,0
272,0.4225,0.6864,0.2103,1
273,0.3835,0.915,0.6372,0
274,0.515,0.2014,0.1862,0
275,0.4536,0.6473,0.8591,0
276,0.1809,0.5854,0.2376,0
277,0.1664,0.9874,0.4231,0
278,0.7341,0.5885,0.8034,0
279,0.0648,0.9217,0.2784,0
280,0.2856,0.0005,0.0358,0
281,0.0832,0.7674,0.1393,0
282,0.5804,0.0703,0.0791,0
283,0.8471,0.2086,0.3717,0
284,0.9551,0.9206,0.2777,0
285,0.3917,0.2622,0.6669,1
286,0.9349,0.6768,0.5342,0
287,0.5114,0.8455,0.9927,0
288,0.5454,0.8064,0.9217,0
289,0.4065,0.9095,0.7612,0
290,0.6623,0.4209,0.9372,0
291,0.6666,0.961,0.4564,0
292,0.2362,0.8349,0.4954,0
293,0.2298,0.7897,0.9276,0
294,0.0529,0.8246,0.4962,0
295,0.5932,0.4053,0.5007,1
296,0.4057,0.5857,0.5909,1
297,0.5403,0.1368,0.7867,0
298,0.7122,0.6766,0.2086,0
299,0.803,0.6105,0.903,0
300,0.2721,0.0609,0.0254,0
301,0.7083,0.475,0.5696,1
302,0.0992,0.0361,0.446,0
303,0.7754,0.3352,0.5141,1
304,0.6295,0.1783,0.3698,0
305,0.7516,0.9592,0.6339,0
306,0.1671,0.7506,0.1019,0
307,0.5111,0.496,0.7282,1
308,0.7572,0.1283,0.7986,0
309,0.8971,0.7476,0.1398,0
310,0.81,0.0011,0.8821,0
311,0.7943,0.5384,0.6519,1
312,0.8297,0.2373,0.464,0
313,0.7652,0.4855,0.2795,1
314,0.0685,0.6414,0.5641,0
315,0.3025,0.052,0.4899,0
316,0.4054,0.2246,0.8482,0
317,0.4415,0.2266,0.6975,1
318,0.2964,0.3474,0.3045,1
319,0.9567,0.581,0.9115,0
320,0.8232,0.9969,0.7956,0
321,0.9522,0.3713,0.9949,0
322,0.7439,0.8409,0.3223,0
323,0.1505,0.8344,0.4145,0
324,0.5841,0.3691,0.1794,0
325,0.908,0.4498,0.457,0
326,0.2574,0.705,0.5369,1
327,0.7505,0.7491,0.9516,0
328,0.0463,0.3522,0.4043,0
329,0.3328,0.8282,0.3951,0
330,0.0515,0.5551,0.9871,0
331,0.0075,0.1081,0.3358,0
332,0.012,0.8994,0.2006,0
333,0.9426,0.6647,0.7431,0
334,0.7554,0.583,0.1118,0
335,0.7692,0.6678,0.1882,0
336,0.0337,0.2515,0.4098,0
337,0.3902,0.6964,0.7999,0
338,0.1863,0.7375,0.2182,0
339,0.6357,0.9973,0.4474,0
340,0.5187,0.2701,0.7179,1
341,0.2413,0.6816,0.2579,0
342,0.554,0.0594,0.7172,0
343,0.9477,0.4825,0.7025,0
344,0.9593,0.4022,0.5373,0
345,0.6978,0.5792,0.9079,0
346,0.0492,0.9346,0.9533,0
347,0.7489,0.1985,0.8673,0
348,0.867,0.1641,0.4915,0
349,0.3336,0.7899,0.6617,0
350,0.0185,0.2826,0.707,0
351,0.1115,0.6035,0.9618,0
352,0.2396,0.2875,0.2055,0
353,0.3587,0.0406,0.7827,0
354,0.1793,0.9442,0.6991,0
355,0.468,0.2563,0.0143,0
356,0.6375,0.9163,0.3548,0
357,0.1778,0.7368,0.465,0
358,0.5785,0.7861,0.6728,1
359,0.8376,0.0124,0.3526,0
360,0.1999,0.497,0.1768,0
361,0.2574,0.8646,0.1519,0
362,0.2471,0.2861,0.8845,0
363,0.0888,0.4004,0.7977,0
364,0.1762,0.2505,0.8963,0
365,0.5695,0.7677,0.2339,0
366,0.7539,0.6157,0.0787,0
367,0.6289,0.1314,0.5265,0
368,0.8029,0.3692,0.7703,0
369,0.1245,0.3782,0.0181,0
370,0.1121,0.4853,0.2771,0
371,0.1614,0.9467,0.6195,0
372,0.6037,0.3273,0.7034,1
373,0.3622,0.7305,0.1075,0
374,0.7419,0.2682,0.9589,0
375,0.4002,0.2546,0.5581,1
376,0.4395,0.9464,0.6374,0
377,0.4135,0.8352,0.5832,0
378,0.4412,0.1677,0.4613,1
379,0.8835,0.2602,0.1885,0
380,0.8884,0.1064,0.1694,0
381,0.5007,0.241,0.628,1
382,0.5684,0.4443,0.6771,1
383,0.2767,0.5425,0.916,0
384,0.7824,0.2425,0.0993,0
385,0.9904,0.8642,0.4841,0
386,0.8907,0.9682,0.3794,0
387,0.805,0.2799,0.1475,0
388,0.9801,0.0196,0.8623,0
389,0.8664,0.9118,0.8834,0
390,0.8,0.6122,0.7491,0
391,0.7062,0.5787,0.2457,1
392,0.702,0.823,0.0476,0
393,0.6356,0.9783,0.3424,0
394,0.8503,0.2516,0.9355,0
395,0.8457,0.6071,0.5125,0
396,0.0082,0.9579,0.4569,0
397,0.9358,0.643,0.9624,0
398,0.8198,0.3853,0.7272,0
399,0.882,0.4884,0.9656,0
400,0.2453,0.6973,0.4071,1
