Ai_Data:500,1,1,2,1,N,B,V2
No,UpSand,x,y
118,1,5.3633,9.3188
119,1,4.7878,4.7239
120,1,0.5253,8.4698
121,1,7.0436,7.4811
122,1,6.5765,4.4179
123,1,7.0693,8.1662
124,1,8.4381,4.1776
125,1,9.4854,5.1227
126,0,1.536,0.9223
127,1,7.8718,2.3122
128,1,3.4883,9.2917
129,1,5.678,5.7394
130,1,5.6053,9.7706
131,1,2.4943,6.6842
132,1,8.4239,3.2349
133,1,1.1536,9.0834
134,1,7.9937,9.2557
135,0,3.6313,0.9075
136,1,2.1335,4.2589
137,0,6.2134,1.8749
138,1,8.3775,8.13
139,0,6.9005,2.3474
140,0,7.8299,0.362
141,0,0.5171,0.752
142,1,1.646,9.336
143,1,9.4948,9.3708
144,1,9.3591,0.8322
145,0,0.7977,0.8445
146,1,0.7725,4.3617
147,0,1.9597,0.2327
148,1,5.6335,8.4152
149,1,1.7013,9.9734
150,1,7.8107,8.2211
151,1,3.0957,7.5883
152,0,3.1907,2.1073
153,1,9.7522,8.4747
154,1,3.0154,5.0598
155,1,7.9859,8.6296
156,0,6.8768,0.5732
157,1,0.4426,4.6491
158,1,2.0888,4.385
159,1,9.1478,0.8469
160,1,8.6554,6.1893
161,1,8.4474,5.8358
162,1,1.5519,7.9218
163,1,0.811,3.4157
164,1,4.541,9.7116
165,1,0.964,5.112
166,1,2.2397,7.0927
167,1,6.3195,4.2085
168,1,9.6575,5.5685
169,0,4.1773,3.6173
170,0,0.9235,1.1239
171,1,8.6592,2.4314
172,1,1.4221,7.7787
173,1,2.8495,8.5021
174,1,0.0558,5.7752
175,1,4.1098,6.8857
176,1,0.8533,6.4946
177,1,3.035,6.5029
178,0,5.6423,2.6957
179,1,9.0225,9.855
180,1,2.0053,5.1697
181,1,7.9199,3.1406
182,1,3.2377,9.4044
183,1,9.7223,6.6164
184,1,9.526,8.3522
185,1,6.7872,7.5454
186,1,2.0664,9.8954
187,0,5.5353,0.5777
188,0,4.3406,0.1023
189,0,7.1068,2.9056
190,1,7.2692,5.8684
191,1,4.9411,4.0388
192,1,7.4606,3.0358
193,1,9.7497,2.5419
194,1,0.2742,8.5846
195,1,4.8499,4.5787
196,1,1.917,7.9914
197,0,7.3285,1.6068
198,0,7.2925,1.3464
199,1,3.0051,7.0667
200,1,2.8193,4.3244
201,1,5.6619,4.4084
202,0,5.94,2.6035
203,0,3.5107,1.2998
204,0,5.5384,0.8241
205,1,8.3645,7.3603
206,1,9.9828,9.6832
207,1,5.4833,5.264
208,1,2.016,7.257
209,1,4.562,7.5552
210,1,2.2088,3.1458
211,1,4.83,4.0211
212,1,5.1977,6.5348
213,1,9.7306,6.9643
214,0,5.4236,1.7651
215,1,9.15,4.2203
216,1,1.5918,7.5073
217,1,9.6623,2.2617
218,1,1.5714,8.1337
219,1,5.7626,4.2352
220,1,1.9526,8.3803
221,0,7.5541,0.2732
222,1,8.9815,4.894
223,1,2.8592,9.9253
224,0,0.0896,0.7587
225,1,4.2236,9.0513
226,0,7.739,1.593
227,1,3.7809,6.0228
228,1,9.8002,4.3144
229,1,1.4483,4.5734
230,0,3.1814,2.1632
231,0,4.4204,3.1442
232,1,9.9292,2.0794
233,1,8.4308,3.0668
234,1,7.5189,3.0278
235,0,3.7499,0.4274
236,1,7.5519,6.3634
237,1,1.3882,8.9576
238,1,9.5814,1.8316
239,1,7.4729,3.7928
240,1,9.2827,5.2974
241,1,6.2674,8.4449
242,1,2.6888,6.796
243,1,4.8021,9.8306
244,0,0.7087,0.0008
245,1,4.5848,8.7003
246,1,0.6477,6.6996
247,1,8.3612,5.312
248,0,3.9486,2.3754
249,1,2.391,2.6917
250,0,1.8722,1.4838
251,0,7.2126,2.3265
252,1,3.3359,3.5223
253,1,2.3607,9.6328
254,1,1.6299,3.4832
255,1,3.0097,9.0432
256,1,9.2278,2.7859
257,1,9.0078,1.0572
258,1,2.4133,9.281
259,1,9.2741,6.0976
260,1,9.9385,7.4209
261,0,7.0247,2.5178
262,0,2.4356,2.1896
263,1,3.798,8.6032
264,1,1.798,2.8862
265,0,2.7478,0.9106
266,1,2.252,5.3559
267,1,4.1718,3.7887
268,1,7.3357,3.7619
269,1,8.7468,7.4246
270,1,9.5057,5.492
271,1,6.436,4.2592
272,1,1.5889,5.2933
273,1,1.54,6.1154
274,1,1.799,7.2303
275,1,6.8587,6.8831
276,1,6.5363,5.5579
277,1,2.4336,8.1045
278,1,7.6893,8.1045
279,1,6.8383,7.3038
280,1,3.657,8.2591
281,0,1.4871,1.404
282,1,5.8105,4.1546
283,0,0.9302,0.0765
284,1,4.6135,6.1436
285,1,4.6029,6.3651
286,1,2.1188,6.1575
287,1,7.9997,4.4298
288,1,0.0609,5.045
289,1,3.7408,6.753
290,1,5.2637,6.4826
291,1,5.4992,5.6527
292,1,6.58,8.5512
293,1,0.2587,6.4458
294,1,0.0845,6.5721
295,0,6.8703,2.1058
296,1,1.7362,3.2975
297,0,1.3765,1.7584
298,1,9.2311,5.0467
299,1,2.0714,7.8584
300,1,7.2628,4.8849
301,1,9.7665,9.3924
302,1,2.9102,6.4357
303,0,1.2299,0.9503
304,1,0.3702,4.4226
305,0,6.2683,0.01
306,0,6.7562,0.5327
307,1,1.4198,7.2782
308,1,3.1787,5.6963
309,1,5.7281,7.4328
310,1,7.8278,2.3763
311,0,6.5637,0.1076
312,1,0.2775,2.9612
313,0,5.9643,3.4668
314,1,8.7283,2.8551
315,1,0.4604,5.2096
316,1,4.4085,9.3594
317,1,9.8566,8.3511
318,1,9.8524,9.9384
319,0,2.9369,1.6222
320,1,0.2744,5.9639
321,1,0.5615,6.8322
322,1,9.757,0.5318
323,1,9.1263,8.0378
324,0,6.4727,1.4453
325,1,9.8515,9.8632
326,0,3.6573,2.9573
327,1,1.8696,4.814
328,0,5.5542,2.3661
329,1,9.5805,1.9284
330,0,0.0479,0.0592
331,0,7.2434,1.6111
332,1,2.2063,4.0974
333,1,6.2734,3.9918
334,0,5.449,2.9342
335,0,3.2122,0.6533
336,1,9.5622,2.3629
337,1,8.841,2.072
338,1,7.2774,5.2872
339,1,1.4053,5.6156
340,1,3.6338,5.4063
341,1,9.4196,1.441
342,1,4.8423,8.4115
343,1,2.02,6.1357
344,1,5.8707,6.7844
345,1,7.3362,6.4486
346,1,8.4672,6.7943
347,1,1.848,7.9504
348,1,3.8438,8.785
349,1,6.1983,5.9715
350,1,6.7351,4.3474
351,1,5.4286,8.6575
352,1,0.0538,6.4702
353,1,4.1084,4.4879
354,0,1.8601,1.2625
355,1,9.3252,9.1024
356,1,8.8647,2.3437
357,1,7.0043,8.7761
358,0,3.1834,1.4915
359,1,9.5284,0.39
360,0,1.5626,1.6446
361,0,5.1237,0.239
362,1,8.7944,0.8523
363,1,1.983,6.5213
364,1,9.5392,8.2648
365,1,2.5938,2.8536
366,1,5.2766,5.759
367,0,6.2401,2.6551
368,0,5.6004,1.2921
369,1,0.1468,6.7448
370,0,5.5791,2.5777
371,1,2.2352,8.9949
372,0,3.3996,2.1781
373,1,0.9591,7.3849
374,1,5.0123,7.6064
375,0,0.1895,0.3001
376,0,4.997,2.5315
377,1,9.6165,0.4176
378,1,5.3691,7.6812
379,0,3.6381,1.0236
380,0,6.5425,2.5356
381,0,4.2039,2.1074
382,0,7.1711,1.406
383,1,5.5822,6.0727
384,1,2.0846,9.9916
385,1,1.5203,5.4137
386,0,0.0397,1.0088
387,1,7.7659,7.1961
388,1,5.504,9.9865
389,0,5.4183,1.6901
390,1,1.192,4.8213
391,1,3.0791,4.9959
392,1,0.5721,5.186
393,1,8.2695,8.0085
394,0,2.0622,0.3851
395,1,1.0848,6.5637
396,1,9.1346,6.7524
397,0,5.5538,0.1087
398,1,3.0472,8.1817
399,1,6.6712,8.743
400,1,7.4203,5.8878
401,0,3.5744,0.9718
402,1,6.3783,5.9882
403,1,1.8292,7.0155
404,1,0.4744,6.002
405,1,0.2979,5.0204
406,1,7.1169,3.8577
407,0,0.5546,0.013
408,1,4.7172,5.5052
409,1,9.3188,7.9423
410,1,2.2757,9.7247
411,1,6.8756,9.6539
412,1,8.6278,1.2264
413,0,6.9497,2.1394
414,1,8.0648,5.6357
415,1,6.0051,6.905
416,1,1.5525,2.456
417,1,2.4358,7.8028
418,1,5.2627,4.6046
419,1,8.6182,3.1687
420,1,0.6387,5.614
421,1,1.2947,9.6111
422,1,2.7125,8.0932
423,1,8.2542,7.2937
424,1,5.893,9.5427
425,1,1.7818,9.0554
426,1,8.9431,4.1166
427,1,1.844,8.2129
428,0,3.3655,1.4252
429,0,4.4795,2.3879
430,1,1.9151,5.9737
431,0,3.3629,3.2041
432,0,6.4575,3.3278
433,1,5.0124,4.1964
434,0,6.8918,1.6028
435,0,0.6074,1.7773
436,1,5.356,9.3681
437,1,9.8871,6.6035
438,1,2.4356,3.5617
439,1,5.0977,5.1864
440,0,4.5916,3.5082
441,1,5.4569,4.0909
442,1,4.529,9.6338
443,0,5.1052,1.5657
444,1,8.7225,7.9727
445,1,0.0119,3.9485
446,1,8.8204,4.0579
447,1,1.8049,6.6916
448,0,6.1429,2.291
449,1,8.9935,2.3486
450,1,0.9958,9.3839
451,1,8.5522,0.3696
452,1,1.0168,2.9663
453,1,3.3346,6.0451
454,1,5.2742,8.9536
455,1,3.286,8.4457
456,1,3.3361,3.7677
457,1,0.9241,9.698
458,0,1.0291,0.0057
459,0,4.0554,0.4434
460,1,7.1049,6.6487
461,1,1.1971,8.8221
462,1,7.5345,7.4065
463,1,7.6726,2.8253
464,0,6.6476,3.2898
465,1,2.8495,8.3618
466,1,6.8362,8.0053
467,1,1.4896,7.8797
468,1,1.0426,7.2667
469,1,4.6779,6.8899
470,1,4.7475,5.6151
471,1,8.3013,8.2325
472,1,6.6809,6.8434
473,1,9.5444,6.432
474,1,9.9705,6.6176
475,1,4.3721,6.9837
476,1,7.9499,8.3896
477,1,1.4666,7.9156
478,1,1.3423,6.1941
479,1,0.5888,3.4694
480,0,6.0415,0.4244
481,0,5.8322,2.2445
482,1,3.2058,5.1807
483,1,6.7377,4.6484
484,1,5.8863,8.2838
485,1,2.7392,6.9979
486,1,8.9062,7.549
487,1,8.907,2.1139
488,1,1.2118,9.4136
489,1,3.4602,8.7546
490,1,2.4118,8.5114
491,1,0.014,4.73
492,1,7.7259,9.2879
493,0,0.0329,1.0422
494,1,8.0599,3.2515
495,1,3.4577,6.894
496,1,4.426,7.9515
497,1,7.9745,7.9115
498,1,8.4286,6.2799
499,1,9.8959,2.4224
500,1,3.0321,7.1881
