Ai_Data:200,1,1,2,1,N,B,V2
No,isInSideR.4,x,y
116,0,0.7438,0.0591
117,0,0.6435,0.0000
118,0,0.8817,0.6538
119,1,0.3396,0.7444
120,0,0.8947,0.047
121,1,0.0874,0.6475
122,0,0.4047,0.0012
123,1,0.2904,0.1478
124,1,0.1119,0.1963
125,0,0.5585,0.0344
126,1,0.5754,0.6036
127,0,0.0074,0.0517
128,1,0.5338,0.2759
129,1,0.4004,0.673
130,1,0.02,0.3422
131,0,0.703,0.6292
132,0,0.5992,0.6671
133,1,0.2415,0.0698
134,0,0.7162,0.0399
135,1,0.4601,0.1425
136,1,0.1475,0.0171
137,1,0.2224,0.4608
138,1,0.6121,0.4457
139,0,0.1082,0.0024
140,0,0.0267,0.5783
141,1,0.1921,0.1375
142,1,0.1551,0.5918
143,1,0.2449,0.1195
144,0,0.7495,0.6638
145,1,0.4127,0.0197
146,1,0.1655,0.576
147,1,0.3173,0.6041
148,0,0.8533,0.7447
149,0,0.9097,0.1972
150,1,0.4104,0.1744
151,0,0.751,0.0213
152,0,0.0018,0.8014
153,1,0.4302,0.136
154,1,0.7745,0.1749
155,1,0.2598,0.4585
156,1,0.7253,0.3516
157,1,0.6452,0.176
158,0,0.6587,0.0000
159,0,0.5746,0.9243
160,0,0.3906,0.8346
161,0,0.0199,0.014
162,0,0.0004,0.9511
163,0,0.9779,0.5065
164,0,0.0033,0.9731
165,1,0.3466,0.1741
166,0,0.003,0.9982
167,1,0.0421,0.1096
168,0,0.0116,0.1039
169,0,0.08,0.85
170,1,0.2921,0.0474
171,0,0.0124,0.0863
172,0,0.8146,0.1118
173,0,0.0349,0.8641
174,1,0.1421,0.0323
175,1,0.5668,0.1145
176,1,0.4951,0.0298
177,1,0.0671,0.0773
178,0,0.9568,0.0062
179,1,0.5124,0.2247
180,0,0.8775,0.7572
181,0,0.0346,0.0001
182,1,0.3427,0.0953
183,0,0.7959,0.637
184,1,0.0804,0.6433
185,1,0.4594,0.7032
186,1,0.4102,0.1058
187,0,0.6482,0.0164
188,1,0.6985,0.2088
189,1,0.1051,0.2044
190,0,0.0487,0.6837
191,1,0.2479,0.1971
192,1,0.0976,0.2717
193,0,0.0003,0.3555
194,1,0.2892,0.0592
195,0,0.9705,0.0209
196,1,0.1148,0.0758
197,0,0.8581,0.9894
198,1,0.2473,0.2906
199,0,0.0709,0.0134
200,1,0.6213,0.0915
