Ai_Data:300,1,1,2,-1,N,V2,C1.9
No,x,y,GridNo
95,0.0613,0.6449,3
96,0.9957,0.8674,8
97,0.8358,0.0859,2
98,0.4193,0.9681,7
99,0.7027,0.4778,5
100,0.8735,0.7432,8
101,0.2478,0.3098,0
102,0.3511,0.6385,4
103,0.867,0.1405,2
104,0.2887,0.8096,6
105,0.9442,0.6747,8
106,0.8903,0.4231,5
107,0.7995,0.6933,8
108,0.7127,0.2731,2
109,0.2051,0.8199,6
110,0.4353,0.319,1
111,0.5154,0.3583,4
112,0.9876,0.007,2
113,0.708,0.6862,8
114,0.4534,0.4817,4
115,0.8834,0.9388,8
116,0.4263,0.0499,1
117,0.0185,0.9668,6
118,0.737,0.5041,5
119,0.0229,0.8027,6
120,0.7242,0.1659,2
121,0.393,0.1211,1
122,0.472,0.7586,7
123,0.0123,0.4263,3
124,0.684,0.4679,5
125,0.8937,0.951,8
126,0.1183,0.8012,6
127,0.911,0.5026,5
128,0.7526,0.103,2
129,0.8167,0.7392,8
130,0.1036,0.8383,6
131,0.0929,0.6109,3
132,0.371,0.0005,1
133,0.4318,0.9507,7
134,0.3289,0.2561,0
135,0.8934,0.4489,5
136,0.1362,0.6827,6
137,0.0359,0.4963,3
138,0.4872,0.2124,1
139,0.5679,0.6284,4
140,0.7759,0.1377,2
141,0.3172,0.5589,3
142,0.194,0.2908,0
143,0.5638,0.0319,1
144,0.9356,0.755,8
145,0.0342,0.9821,6
146,0.9308,0.2175,2
147,0.1039,0.733,6
148,0.7782,0.3235,2
149,0.0047,0.2213,0
150,0.8011,0.6406,5
151,0.0833,0.4787,3
152,0.396,0.0924,1
153,0.4094,0.8576,7
154,0.0986,0.972,6
155,0.2783,0.7343,6
156,0.0356,0.8936,6
157,0.4068,0.6737,7
158,0.6881,0.2918,2
159,0.8678,0.2908,2
160,0.1347,0.328,0
161,0.0611,0.2927,0
162,0.199,0.3145,0
163,0.2674,0.4351,3
164,0.1718,0.0129,0
165,0.5821,0.3792,4
166,0.0307,0.4191,3
167,0.2757,0.6818,6
168,0.3284,0.8928,6
169,0.8782,0.4033,5
170,0.1717,0.7404,6
171,0.5335,0.0689,1
172,0.9635,0.6125,5
173,0.4216,0.9662,7
174,0.8296,0.3234,2
175,0.2951,0.0145,0
176,0.901,0.9529,8
177,0.4262,0.6894,7
178,0.8753,0.3401,5
179,0.5125,0.7374,7
180,0.5286,0.3282,1
181,0.3373,0.6655,4
182,0.0983,0.3689,3
183,0.2316,0.2388,0
184,0.7109,0.3474,5
185,0.635,0.4721,4
186,0.2752,0.7362,6
187,0.3015,0.8479,6
188,0.5131,0.4369,4
189,0.9489,0.7478,8
190,0.0505,0.9208,6
191,0.3958,0.3289,1
192,0.7387,0.5259,5
193,0.4862,0.3313,1
194,0.6302,0.0208,1
195,0.3464,0.551,4
196,0.2788,0.7948,6
197,0.7717,0.9617,8
198,0.2875,0.2828,0
199,0.7904,0.7209,8
200,0.2745,0.4855,3
201,0.7007,0.5433,5
202,0.681,0.6936,8
203,0.1288,0.1777,0
204,0.091,0.7747,6
205,0.904,0.9706,8
206,0.9858,0.6346,5
207,0.7981,0.7504,8
208,0.1053,0.709,6
209,0.4261,0.518,4
210,0.837,0.5986,5
211,0.8543,0.6775,8
212,0.3056,0.2035,0
213,0.7147,0.7904,8
214,0.0848,0.9693,6
215,0.8692,0.0898,2
216,0.703,0.1019,2
217,0.9242,0.2369,2
218,0.364,0.8625,7
219,0.1396,0.0553,0
220,0.5569,0.2997,1
221,0.5306,0.2272,1
222,0.4739,0.031,1
223,0.2086,0.1861,0
224,0.4113,0.93,7
225,0.2589,0.69,6
226,0.5721,0.8313,7
227,0.6999,0.8092,8
228,0.9451,0.6109,5
229,0.3239,0.3145,0
230,0.1803,0.2524,0
231,0.4637,0.6981,7
232,0.6336,0.757,7
233,0.9828,0.3137,2
234,0.0025,0.0084,0
235,0.0365,0.3681,3
236,0.2237,0.9513,6
237,0.4002,0.7508,7
238,0.5562,0.6921,7
239,0.4118,0.9339,7
240,0.0204,0.3819,3
241,0.8258,0.4281,5
242,0.6154,0.992,7
243,0.1246,0.529,3
244,0.9869,0.3392,5
245,0.0851,0.3374,3
246,0.4667,0.972,7
247,0.6475,0.2886,1
248,0.6565,0.7767,7
249,0.3817,0.6747,7
250,0.9775,0.4125,5
251,0.1001,0.8944,6
252,0.8573,0.9344,8
253,0.4126,0.4154,4
254,0.477,0.2152,1
255,0.2703,0.6819,6
256,0.2492,0.0237,0
257,0.7962,0.4538,5
258,0.4495,0.8699,7
259,0.9481,0.3103,2
260,0.6735,0.976,8
261,0.8121,0.3036,2
262,0.0402,0.9833,6
263,0.5722,0.9952,7
264,0.315,0.2529,0
265,0.4542,0.3619,4
266,0.3735,0.8715,7
267,0.1893,0.3031,0
268,0.677,0.7196,8
269,0.7958,0.7355,8
270,0.6842,0.2137,2
271,0.725,0.5093,5
272,0.3677,0.5799,4
273,0.6674,0.6294,5
274,0.2604,0.7693,6
275,0.5682,0.5174,4
276,0.7005,0.3748,5
277,0.6468,0.2977,1
278,0.1999,0.1573,0
279,0.4677,0.342,4
280,0.1056,0.0428,0
281,0.3618,0.5578,4
282,0.9779,0.6977,8
283,0.7407,0.1535,2
284,0.3549,0.043,1
285,0.1058,0.8663,6
286,0.8283,0.3162,2
287,0.7947,0.8856,8
288,0.599,0.5405,4
289,0.7651,0.9576,8
290,0.9372,0.5106,5
291,0.961,0.4049,5
292,0.2169,0.6546,3
293,0.0593,0.0452,0
294,0.4482,0.3807,4
295,0.6421,0.244,1
296,0.4779,0.7694,7
297,0.0942,0.5855,3
298,0.2813,0.7193,6
299,0.7696,0.8958,8
300,0.0165,0.9066,6
