Ai_Data:300,1,1,2,1,N,B,V2
No,isAbove,x,y
247,0,0.3852,0.923
248,1,0.4343,0.5771
249,1,0.8533,0.4394
250,0,0.6239,0.2119
251,0,0.6975,0.1999
252,0,0.0574,0.1965
253,0,0.0216,0.4023
254,0,0.8657,0.6473
255,0,0.4653,0.2871
256,0,0.2095,0.9113
257,0,0.2322,0.9647
258,0,0.8545,0.6306
259,1,0.3494,0.401
260,1,0.5333,0.7377
261,1,0.5798,0.6679
262,0,0.6393,0.1152
263,0,0.6608,0.8215
264,0,0.0516,0.9055
265,0,0.7887,0.0143
266,0,0.1362,0.7042
267,1,0.5231,0.7028
268,0,0.2204,0.1213
269,0,0.5313,0.0591
270,0,0.0882,0.4456
271,0,0.8464,0.946
272,0,0.2934,0.3951
273,0,0.5589,0.0646
274,0,0.336,0.1898
275,0,0.1152,0.1349
276,0,0.0006,0.429
277,0,0.6449,0.2171
278,1,0.4024,0.5095
279,0,0.9874,0.5342
280,1,0.538,0.568
281,0,0.3412,0.4058
282,0,0.3884,0.182
283,0,0.7068,0.1498
284,1,0.8703,0.314
285,0,0.5459,0.0651
286,0,0.1828,0.2339
287,0,0.3275,0.8517
288,1,0.3466,0.402
289,0,0.8845,0.0787
290,0,0.9828,0.5493
291,0,0.7511,0.56
292,1,0.6275,0.4384
293,0,0.9034,0.7462
294,0,0.129,0.0389
295,1,0.5762,0.4927
296,0,0.9259,0.1026
297,0,0.0754,0.8128
298,0,0.251,0.3727
299,1,0.7608,0.4762
300,0,0.5594,0.9104
