Ai_Data:500,1,1,2,-1,N,V2,C1.5
No,x,y,isInsideR.4
83,0.3983,0.7104,2
84,0.7078,0.0088,0
85,0.9891,0.0465,0
86,0.2494,0.7837,2
87,0.0024,0.8246,0
88,0.7904,0.205,0
89,0.0104,0.968,0
90,0.0086,0.7184,0
91,0.2735,0.6888,2
92,0.2637,0.3695,3
93,0.0088,0.7676,0
94,0.6841,0.678,1
95,0.9486,0.2838,0
96,0.506,0.767,1
97,0.1735,0.7181,2
98,0.2713,0.7935,2
99,0.4539,0.598,2
100,0.7464,0.9781,0
101,0.5852,0.1107,4
102,0.6697,0.78,1
103,0.4497,0.352,3
104,0.6875,0.0142,0
105,0.7916,0.136,0
106,0.0878,0.9585,0
107,0.9373,0.5358,0
108,0.1913,0.7457,2
109,0.9468,0.5771,0
110,0.5093,0.5899,1
111,0.9297,0.7582,0
112,0.0271,0.6418,0
113,0.5116,0.3155,4
114,0.2229,0.5212,2
115,0.6832,0.4093,4
116,0.6818,0.8231,1
117,0.5182,0.6496,1
118,0.4135,0.1445,3
119,0.4931,0.6348,2
120,0.2334,0.4276,3
121,0.3953,0.4253,3
122,0.8171,0.6688,1
123,0.0506,0.123,0
124,0.2863,0.2875,3
125,0.3578,0.9797,0
126,0.4372,0.7038,2
127,0.3629,0.7049,2
128,0.9693,0.9202,0
129,0.3572,0.8967,0
130,0.3245,0.1562,3
131,0.2354,0.7658,2
132,0.9963,0.8305,0
133,0.5956,0.5755,1
134,0.418,0.4391,3
135,0.3172,0.4701,3
136,0.7892,0.1261,0
137,0.6017,0.6115,1
138,0.4502,0.9931,0
139,0.7079,0.7986,1
140,0.6636,0.4454,4
141,0.8698,0.9892,0
142,0.913,0.1205,0
143,0.1279,0.3977,3
144,0.0767,0.1974,0
145,0.0608,0.0889,0
146,0.0877,0.1316,0
147,0.6504,0.242,4
148,0.9379,0.1148,0
149,0.7655,0.5043,1
150,0.1365,0.8039,0
151,0.997,0.1084,0
152,0.9819,0.119,0
153,0.8315,0.6736,1
154,0.2566,0.1536,0
155,0.3945,0.8636,2
156,0.2041,0.498,3
157,0.2511,0.323,3
158,0.8975,0.5192,1
159,0.9951,0.5636,0
160,0.3589,0.3965,3
161,0.6133,0.7226,1
162,0.0398,0.9584,0
163,0.8588,0.3656,4
164,0.5201,0.6187,1
165,0.1167,0.7544,0
166,0.5374,0.9571,0
167,0.4982,0.2531,3
168,0.7038,0.7434,1
169,0.146,0.7935,0
170,0.5213,0.4504,4
171,0.9862,0.5724,0
172,0.5541,0.5522,1
173,0.4109,0.4013,3
174,0.8671,0.1571,0
175,0.6256,0.3825,4
176,0.0913,0.7689,0
177,0.6467,0.8314,1
178,0.7236,0.226,4
179,0.1817,0.6176,2
180,0.5221,0.1131,4
181,0.8786,0.3479,0
182,0.105,0.1948,0
183,0.6772,0.0609,0
184,0.113,0.6649,0
185,0.2475,0.3565,3
186,0.545,0.2617,4
187,0.7495,0.1322,0
188,0.1255,0.5429,2
189,0.3986,0.3475,3
190,0.8139,0.8694,0
191,0.571,0.4878,4
192,0.8146,0.8941,0
193,0.4331,0.6519,2
194,0.6975,0.6015,1
195,0.3309,0.4318,3
196,0.4887,0.1971,3
197,0.4211,0.0097,0
198,0.8392,0.3914,4
199,0.2808,0.1414,0
200,0.6333,0.877,1
201,0.4784,0.9507,0
202,0.644,0.0441,0
203,0.3415,0.7038,2
204,0.0961,0.2332,0
205,0.4048,0.9881,0
206,0.2456,0.0698,0
207,0.2734,0.9656,0
208,0.3354,0.6796,2
209,0.8856,0.6239,0
210,0.5357,0.8306,1
211,0.4088,0.1953,3
212,0.7303,0.2977,4
213,0.2549,0.1678,0
214,0.2555,0.9996,0
215,0.9466,0.5576,0
216,0.9539,0.7012,0
217,0.8221,0.3676,4
218,0.1501,0.332,3
219,0.8099,0.4006,4
220,0.409,0.2142,3
221,0.7603,0.8528,0
222,0.1856,0.7496,0
223,0.066,0.3555,0
224,0.7258,0.3613,4
225,0.5577,0.3905,4
226,0.8279,0.7368,0
227,0.9086,0.2484,0
228,0.3229,0.6702,2
229,0.0312,0.9535,0
230,0.385,0.0498,0
231,0.2029,0.8255,0
232,0.0299,0.7874,0
233,0.9024,0.6016,0
234,0.4109,0.7382,2
235,0.5931,0.2896,4
236,0.7731,0.9053,0
237,0.9366,0.1744,0
238,0.1726,0.4787,3
239,0.172,0.6499,2
240,0.3237,0.5028,2
241,0.6437,0.7976,1
242,0.1794,0.2218,0
243,0.7137,0.8844,0
244,0.1083,0.3981,0
245,0.5419,0.2012,4
246,0.7745,0.1509,0
247,0.4685,0.9142,0
248,0.0817,0.1135,0
249,0.984,0.8504,0
250,0.7896,0.9534,0
251,0.5201,0.3905,4
252,0.6628,0.5539,1
253,0.546,0.8888,1
254,0.2614,0.4048,3
255,0.7057,0.2946,4
256,0.7324,0.9962,0
257,0.9784,0.8945,0
258,0.2112,0.2656,3
259,0.0986,0.3497,0
260,0.6937,0.3926,4
261,0.7194,0.4484,4
262,0.4864,0.4898,3
263,0.0528,0.2458,0
264,0.5957,0.9856,0
265,0.9719,0.5147,0
266,0.6649,0.7465,1
267,0.8104,0.6764,1
268,0.3184,0.2356,3
269,0.3413,0.6351,2
270,0.0221,0.254,0
271,0.6718,0.1883,4
272,0.8209,0.0617,0
273,0.0372,0.9335,0
274,0.5599,0.9261,0
275,0.7282,0.844,0
276,0.4521,0.3936,3
277,0.637,0.9355,0
278,0.0986,0.8315,0
279,0.1558,0.6958,2
280,0.3236,0.0377,0
281,0.4119,0.1985,3
282,0.4313,0.9646,0
283,0.0743,0.0734,0
284,0.7455,0.8541,0
285,0.2158,0.7553,2
286,0.5406,0.3302,4
287,0.9658,0.683,0
288,0.7238,0.2473,4
289,0.9363,0.3701,0
290,0.8777,0.3394,0
291,0.6579,0.5199,1
292,0.522,0.9687,0
293,0.5083,0.6064,1
294,0.7048,0.5191,1
295,0.8684,0.5927,1
296,0.283,0.2321,3
297,0.4905,0.7087,2
298,0.4988,0.5329,2
299,0.3127,0.4608,3
300,0.7154,0.1411,0
301,0.2037,0.2949,3
302,0.4181,0.5157,2
303,0.3736,0.5837,2
304,0.8416,0.4294,4
305,0.4323,0.8627,2
306,0.8325,0.7198,1
307,0.334,0.4832,3
308,0.8075,0.5139,1
309,0.6877,0.108,0
310,0.9143,0.4738,0
311,0.1718,0.7181,2
312,0.7568,0.8593,0
313,0.0346,0.0555,0
314,0.293,0.4546,3
315,0.917,0.6711,0
316,0.7653,0.6566,1
317,0.4797,0.0021,0
318,0.772,0.2708,4
319,0.5718,0.1487,4
320,0.8399,0.8126,0
321,0.9227,0.2731,0
322,0.1077,0.3595,0
323,0.5933,0.793,1
324,0.9786,0.253,0
325,0.6703,0.7901,1
326,0.8519,0.1952,0
327,0.9379,0.3067,0
328,0.2938,0.5378,2
329,0.512,0.452,4
330,0.2552,0.8113,2
331,0.6693,0.4897,4
332,0.1976,0.7887,0
333,0.359,0.3286,3
334,0.2347,0.634,2
335,0.1278,0.0891,0
336,0.6504,0.9293,0
337,0.4453,0.6662,2
338,0.4025,0.6292,2
339,0.6631,0.4613,4
340,0.4706,0.2384,3
341,0.0915,0.7059,0
342,0.1581,0.7606,0
343,0.9294,0.0464,0
344,0.7083,0.2143,4
345,0.0308,0.3148,0
346,0.8424,0.7623,0
347,0.7424,0.6553,1
348,0.0807,0.7535,0
349,0.2975,0.429,3
350,0.9546,0.2219,0
351,0.4993,0.5696,2
352,0.4702,0.6404,2
353,0.6788,0.3098,4
354,0.4315,0.9773,0
355,0.1616,0.4534,3
356,0.4845,0.3501,3
357,0.7278,0.6116,1
358,0.9891,0.8258,0
359,0.7994,0.0781,0
360,0.0803,0.1635,0
361,0.34,0.2633,3
362,0.5271,0.5455,1
363,0.6996,0.8596,0
364,0.2484,0.5954,2
365,0.8919,0.1611,0
366,0.5958,0.2291,4
367,0.035,0.2075,0
368,0.762,0.1347,0
369,0.9423,0.675,0
370,0.9251,0.9307,0
371,0.0973,0.6875,0
372,0.987,0.2965,0
373,0.4958,0.9666,0
374,0.0165,0.6245,0
375,0.0918,0.9961,0
376,0.7553,0.9883,0
377,0.8291,0.1201,0
378,0.7974,0.4765,4
379,0.4949,0.7476,2
380,0.3002,0.1869,3
381,0.8793,0.0859,0
382,0.3377,0.4284,3
383,0.9739,0.0735,0
384,0.2543,0.929,0
385,0.1958,0.4361,3
386,0.6293,0.0941,0
387,0.8696,0.0351,0
388,0.7105,0.6143,1
389,0.4533,0.9333,0
390,0.4279,0.9685,0
391,0.241,0.8475,0
392,0.3446,0.6197,2
393,0.5282,0.911,0
394,0.1571,0.9494,0
395,0.4729,0.9172,0
396,0.6011,0.2283,4
397,0.1375,0.4672,3
398,0.8755,0.1709,0
399,0.4459,0.6916,2
400,0.9411,0.8686,0
401,0.0396,0.4703,0
402,0.3056,0.1506,3
403,0.2684,0.3208,3
404,0.1529,0.6679,2
405,0.7981,0.3773,4
406,0.9261,0.248,0
407,0.572,0.1327,4
408,0.725,0.317,4
409,0.1082,0.8649,0
410,0.1256,0.4361,3
411,0.3689,0.9197,0
412,0.282,0.2485,3
413,0.685,0.2724,4
414,0.42,0.3856,3
415,0.4712,0.0386,0
416,0.082,0.1267,0
417,0.7149,0.8581,0
418,0.7313,0.8613,0
419,0.4742,0.3224,3
420,0.5776,0.6502,1
421,0.8692,0.8675,0
422,0.7298,0.431,4
423,0.3007,0.8052,2
424,0.039,0.6674,0
425,0.8805,0.4137,4
426,0.238,0.4868,3
427,0.3086,0.2593,3
428,0.2392,0.6043,2
429,0.6808,0.1717,4
430,0.6978,0.5797,1
431,0.9609,0.5445,0
432,0.2022,0.2045,0
433,0.1033,0.8831,0
434,0.6993,0.0654,0
435,0.0582,0.7706,0
436,0.0139,0.5819,0
437,0.1459,0.6755,2
438,0.5733,0.0638,0
439,0.5332,0.2716,4
440,0.6946,0.5863,1
441,0.797,0.1927,0
442,0.0449,0.7299,0
443,0.8086,0.3934,4
444,0.1346,0.4806,3
445,0.4246,0.5384,2
446,0.9507,0.8386,0
447,0.7167,0.0926,0
448,0.0928,0.9316,0
449,0.7273,0.0319,0
450,0.018,0.6803,0
451,0.9822,0.3494,0
452,0.2567,0.3122,3
453,0.2481,0.7764,2
454,0.7065,0.2707,4
455,0.2666,0.3917,3
456,0.3655,0.3172,3
457,0.4504,0.0401,0
458,0.1127,0.8717,0
459,0.776,0.7324,1
460,0.3959,0.8904,0
461,0.3566,0.4493,3
462,0.9367,0.8256,0
463,0.4308,0.0191,0
464,0.8102,0.4655,4
465,0.7497,0.9944,0
466,0.5115,0.7015,1
467,0.5986,0.6959,1
468,0.8662,0.5182,1
469,0.9365,0.8483,0
470,0.8948,0.7544,0
471,0.3884,0.4783,3
472,0.9911,0.4318,0
473,0.074,0.9972,0
474,0.0231,0.6968,0
475,0.5084,0.6402,1
476,0.2164,0.675,2
477,0.058,0.6838,0
478,0.9289,0.7824,0
479,0.6861,0.1135,0
480,0.6765,0.292,4
481,0.9742,0.6635,0
482,0.0195,0.2025,0
483,0.6505,0.4003,4
484,0.1686,0.705,2
485,0.1124,0.2724,0
486,0.4193,0.7955,2
487,0.6768,0.2974,4
488,0.7763,0.8299,0
489,0.5417,0.3085,4
490,0.3738,0.0679,0
491,0.6943,0.4334,4
492,0.5549,0.5037,1
493,0.2501,0.7248,2
494,0.7162,0.5286,1
495,0.9561,0.6183,0
496,0.2795,0.2248,3
497,0.845,0.1353,0
498,0.3974,0.3351,3
499,0.2715,0.006,0
500,0.2555,0.206,3
