Ai_Data:300,1,1,2,-1,N,V2,C1.3
No,x,y,Y3Area
156,0.1152,0.8039,1
157,0.0025,0.7841,1
158,0.9491,0.882,0
159,0.4549,0.9471,2
160,0.2328,0.4643,1
161,0.281,0.1338,1
162,0.8644,0.1976,0
163,0.2496,0.6126,1
164,0.0584,0.2692,1
165,0.6179,0.0204,0
166,0.5018,0.3721,0
167,0.8934,0.8577,0
168,0.2639,0.4439,1
169,0.4668,0.3427,1
170,0.5089,0.4148,0
171,0.2898,0.4867,1
172,0.306,0.4489,1
173,0.0183,0.4974,1
174,0.0862,0.4126,1
175,0.2932,0.8713,2
176,0.5408,0.5556,2
177,0.0811,0.7837,1
178,0.0089,0.6375,1
179,0.2461,0.636,1
180,0.652,0.9853,2
181,0.7753,0.8699,2
182,0.9606,0.2165,0
183,0.3288,0.4066,1
184,0.3911,0.6103,2
185,0.0379,0.3228,1
186,0.1798,0.3642,1
187,0.7212,0.6203,0
188,0.6299,0.2174,0
189,0.9418,0.1997,0
190,0.4192,0.1775,1
191,0.5778,0.3989,0
192,0.7258,0.3341,0
193,0.8262,0.7023,0
194,0.2168,0.9931,2
195,0.8146,0.4845,0
196,0.1997,0.6175,1
197,0.24,0.8938,2
198,0.4802,0.3074,1
199,0.7087,0.2375,0
200,0.7261,0.8052,2
201,0.6977,0.4778,0
202,0.3826,0.2591,1
203,0.3105,0.6969,2
204,0.4359,0.2294,1
205,0.2481,0.6409,1
206,0.5725,0.6737,2
207,0.6683,0.7035,2
208,0.5314,0.8924,2
209,0.8545,0.956,2
210,0.6946,0.6715,0
211,0.8653,0.0856,0
212,0.2145,0.1058,1
213,0.5886,0.3498,0
214,0.2241,0.8371,2
215,0.8694,0.9069,2
216,0.9266,0.6916,0
217,0.6361,0.1319,0
218,0.6128,0.9518,2
219,0.1949,0.777,1
220,0.9011,0.7456,0
221,0.1152,0.0864,1
222,0.7486,0.2888,0
223,0.3778,0.2245,1
224,0.0294,0.9639,1
225,0.7074,0.6266,0
226,0.7268,0.4706,0
227,0.2621,0.1326,1
228,0.0377,0.5314,1
229,0.1007,0.0113,1
230,0.9338,0.8884,0
231,0.1003,0.237,1
232,0.9782,0.573,0
233,0.2459,0.6247,1
234,0.4439,0.6854,2
235,0.4645,0.6867,2
236,0.0308,0.1672,1
237,0.4244,0.3174,1
238,0.7282,0.301,0
239,0.972,0.6668,0
240,0.6194,0.9225,2
241,0.1294,0.8117,1
242,0.676,0.5785,0
243,0.8217,0.0842,0
244,0.8386,0.1158,0
245,0.7592,0.1673,0
246,0.9291,0.4349,0
247,0.1439,0.3155,1
248,0.1948,0.3937,1
249,0.1232,0.3116,1
250,0.5277,0.0937,0
251,0.1628,0.0177,1
252,0.6584,0.0361,0
253,0.7599,0.6307,0
254,0.8699,0.8791,2
255,0.1703,0.0011,1
256,0.0293,0.7827,1
257,0.0681,0.6243,1
258,0.9831,0.5743,0
259,0.3139,0.165,1
260,0.6145,0.2211,0
261,0.25,0.6222,1
262,0.1078,0.3408,1
263,0.1961,0.4958,1
264,0.2183,0.7384,1
265,0.0673,0.5635,1
266,0.594,0.2008,0
267,0.286,0.1272,1
268,0.4453,0.0348,1
269,0.4094,0.8386,2
270,0.1108,0.0826,1
271,0.1447,0.4635,1
272,0.3153,0.1996,1
273,0.6743,0.1934,0
274,0.167,0.4277,1
275,0.4619,0.3652,1
276,0.1911,0.3501,1
277,0.9621,0.6963,0
278,0.9458,0.3607,0
279,0.9055,0.397,0
280,0.019,0.8327,1
281,0.0804,0.7671,1
282,0.4509,0.4217,1
283,0.7839,0.1382,0
284,0.8812,0.9863,2
285,0.3633,0.2691,1
286,0.9657,0.8615,0
287,0.5208,0.5558,2
288,0.8614,0.469,0
289,0.3019,0.6634,1
290,0.8247,0.4988,0
291,0.9417,0.4404,0
292,0.222,0.1464,1
293,0.9876,0.2254,0
294,0.4972,0.14,1
295,0.374,0.9036,2
296,0.8949,0.5426,0
297,0.368,0.3246,1
298,0.9845,0.5619,0
299,0.5592,0.9392,2
300,0.2838,0.8545,2
