Ai_Data:500,1,1,2,1,N,C1.5,V2
No,isInSideR.4,x,y
459,0,0.6025,0.0061
460,0,0.3045,0.058
461,4,0.6874,0.1564
462,3,0.4378,0.3974
463,1,0.5716,0.6309
464,1,0.6571,0.6349
465,0,0.9895,0.5038
466,0,0.0997,0.0334
467,4,0.8899,0.4428
468,2,0.4665,0.6633
469,2,0.2005,0.7155
470,0,0.9938,0.9466
471,0,0.9868,0.1738
472,2,0.3121,0.6402
473,0,0.8041,0.2002
474,0,0.1149,0.8663
475,0,0.2884,0.8502
476,0,0.8085,0.0504
477,2,0.2834,0.6757
478,1,0.5658,0.8756
479,0,0.051,0.9629
480,2,0.4546,0.6135
481,3,0.3609,0.3703
482,4,0.5635,0.44
483,4,0.5079,0.1996
484,2,0.2963,0.5956
485,1,0.5516,0.786
486,2,0.2575,0.5002
487,2,0.3281,0.7397
488,3,0.4006,0.1814
489,0,0.0278,0.0252
490,2,0.3605,0.6254
491,0,0.3881,0.1117
492,0,0.1429,0.9104
493,1,0.7971,0.679
494,4,0.5917,0.2311
495,1,0.8556,0.6135
496,3,0.3068,0.1747
497,3,0.1929,0.2786
498,0,0.9332,0.8572
499,4,0.5862,0.2942
500,0,0.9958,0.7793
